,allergies,anxiety,bloating,brain_fog,breast_pain,breast_swelling,brittle_nails,chills,constipation,cramps,depression,diarrhea,dizzy,dry_eyes,dry_skin,facial_hair,fatigue,hair_loss,headaches,heartburn,incontinence,insomnia,irregular_beat,itchy_skin,joint_pain,memory_lapse,mood_swings,muscle_tension,nausea,nipple_discharge,odor,ovulation,ovulation_pain,painful_intercourse,ringing_ears,sex_drive,spotting,tingling_extremeties,uti,vaginal_dryness,vertigo,vomiting,yeast_infection
depression,0.040482424463940105,0.39042303759179375,0.048295857130203505,0.3500389066130016,-0.008024491000578867,-0.026070557140771056,0.24889475928925356,-0.00751079988060352,0.03598168175357085,-0.04455301608879137,0.9999999999999993,0.10677766848850782,0.08895976996228357,0.012915496011283487,0.10159697407648009,0.06121058777711097,0.26971565884729204,-0.026741850095034908,0.047007604668540516,0.11668790493708783,0.12834224967352248,0.27513537786240805,-0.009301575715308883,0.22730585123410307,0.13742951534532538,0.22686902227656858,0.3271266626565389,0.09775182824121532,0.04201220781831761,-0.0035370413105386407,0.06798562747825403,-0.014714058573761435,-0.03379274304287733,0.024620494503584466,0.05471271256410975,0.03123343044572131,-0.060176034788142437,0.18492270949688297,-0.014067060718854635,0.04033585765332248,0.037642227375660205,0.1364212785707304,-0.020040870201387624
diarrhea,0.0437024848356169,0.052754080074378804,0.08124169975177242,0.11753383284139439,0.01931624611857946,0.04512981466040951,0.07290435391327066,0.03380410720423074,0.022018920025510015,0.09307575352146195,0.10677766848850782,0.9999999999999993,0.09501677226626357,0.04085813049824616,0.12010874136699239,0.0228292077329226,0.14506041976541398,0.04149580591736394,0.0597118753241201,0.13553687505343792,0.247602647660848,0.04520728028664867,0.030897934915140358,0.16593068910427028,0.10706726065409888,-0.006249999866435578,0.054756824810710085,0.06985955075543218,0.22683122568809824,0.04879375463985159,0.05395559501651627,0.13827783004775268,0.03789695521596181,-0.01167401191948783,0.03795120388153504,0.019759405274164168,0.040173409031075205,0.19485116256658466,0.06275664228173933,0.06513665269193174,0.014902007827521949,0.03226431583312048,0.08468426082807887
dizzy,0.08722456338893489,0.10998460272506069,0.08767539967881854,0.19394803471521388,0.05971113734600691,0.003948317164314696,0.001952985420068093,0.049706767394852885,0.09596026788171516,0.08601137250518587,0.08895976996228357,0.09501677226626357,1.0000000000000002,0.23656514232135534,-0.008266753536751263,-0.02115126511250085,0.22249598831303807,0.034390381245477844,0.2453790897685619,0.18389324167032575,0.00635293883109435,0.0912460317917077,0.06365327690442499,0.023761734897445548,0.17368157005544335,0.038100377879167195,0.013186783244386342,0.27077734989667845,0.3202882485560562,0.008682172755452248,0.08609144354923147,0.053255013252221796,0.048798399394595064,-0.019492245234599238,0.15617248206268777,-0.016220547244467066,0.1219069859899399,0.09044169493836102,0.10977036141304682,0.053828676759933046,0.22364532931167436,0.01902253718501489,-0.0031575106388751313
dry_eyes,0.13743286303077504,0.05073721427464649,0.1310396712869904,0.1377473978622662,0.045318199750649116,0.07173024174018837,0.07574911062249393,0.11388234015948856,0.22479016265101204,0.0685135388353304,0.012915496011283487,0.04085813049824616,0.23656514232135534,0.9999999999999993,0.08598029290990934,0.06473892619721267,0.1779929699023914,0.0893320318776744,0.17264530952270354,0.140997294540487,0.019043753902307614,0.049534004049717896,0.07012257283690396,0.044573244606653496,0.14644697745025198,0.037121633402457235,0.016822520175149746,0.126170878067388,0.036622311848101045,0.0033222778494903,0.08016529750227223,-0.010402954209796355,-0.002490420195406556,0.02327412063687792,0.10868960782226912,-0.006914829072549605,0.19998726986417073,0.07731381332853211,-0.002519627579140665,0.132546335768839,0.015848608251559246,-0.023271627846672412,0.027212597176418264
dry_skin,0.10426879222964977,0.16179973149965104,0.017419847772844162,0.08640829421972912,0.05754486230385613,-0.0028058083626368215,0.2371621666873294,0.05363889172178581,0.025642512892205854,0.10759143353599555,0.10159697407648009,0.12010874136699239,-0.008266753536751263,0.08598029290990934,1.0000000000000013,0.15041438562081538,0.07312090365682801,0.0527155739314895,0.018493324631640523,0.04061167446446513,0.16885429519281542,0.12113663054337541,-0.01077149277102303,0.2615979335607407,0.05737362090447962,0.042618425670826035,0.08218362072247434,0.2951604039829055,0.027248319445671385,0.007476512145387484,0.057174532994905894,0.07111778038919626,0.006969742301128686,0.006849751683729781,0.04877554701352379,0.03867108581417024,0.05468166425287352,0.1300317318265598,-0.0017218085680461841,0.019806916520757945,-0.0069255195343908785,0.0032820584049663565,0.0045483682074961874
facial_hair,0.040142402062157564,0.0819863590386893,0.046143917950035904,0.07410286694834411,-0.0320400544051335,-0.03139301963637561,0.21638285899629597,0.11857339641058541,0.03869828666125787,0.0023779641559049424,0.06121058777711097,0.0228292077329226,-0.02115126511250085,0.06473892619721267,0.15041438562081538,1.0000000000000004,0.07919837437375266,0.10018709261975789,0.020152620169319627,0.021530506080385706,0.11296326558467915,0.09964239413623763,-0.02188240167898501,0.15158068593219207,0.08580910953669664,0.10563741401751872,0.11126052172346612,0.1171317853720804,-0.01529249521739516,0.012277197837532228,0.11240710264648983,-0.014388583575097097,-0.003054570460974358,0.13359482379878154,0.056985332184960075,0.14180849552565827,-0.021042349486593698,0.04459882196017889,0.008442260632602061,0.030229588358262737,0.001962762103774693,-0.02682409916703653,0.04220594930582351
fatigue,0.12083012555855688,0.3349079567279156,0.3571128990893488,0.4097935786644103,0.21297700149420978,0.036441289057352645,0.12760803534086645,0.040230731729644496,0.09246490109001315,0.27642210439905296,0.26971565884729204,0.14506041976541398,0.22249598831303807,0.1779929699023914,0.07312090365682801,0.07919837437375266,1.0000000000000004,-0.006825947220134372,0.3193320644042614,0.15256984490688186,0.09996250529761219,0.2942514067094127,0.010075602398036744,0.13773569258919496,0.23171295023372213,0.21936201394893837,0.2567553799482999,0.26534367908984435,0.10387076781096857,-0.04963244364354583,0.173492206007543,0.016784471092132713,-0.003616611449687531,0.03164011326973058,0.20123724014753502,0.02765840245965349,0.14160655138649209,0.09672411857378535,0.0017616516888827815,0.04724910373925456,0.011234812586550935,0.14340562865777387,0.037301330512797305
hair_loss,0.022212544538412378,0.06002402409387346,0.03276441046692618,0.03699957695980051,0.15576156102838207,0.19888797351571538,0.12821328809334442,0.07525216258543226,0.03111656754423598,0.009746666839893822,-0.026741850095034908,0.04149580591736394,0.034390381245477844,0.0893320318776744,0.0527155739314895,0.10018709261975789,-0.006825947220134372,0.9999999999999986,-0.02945550860428037,-0.015052508344432284,0.052438360677126365,0.03947590427325528,0.004476332150298408,0.0785946464569678,0.08494880987927324,0.05697891874261344,0.042235273519403156,0.05502209053420957,0.07044100631142389,-0.01572150464344252,0.046665450083223876,-0.025546021894543837,-0.030955263637605986,-0.0087694598911385,0.05801319788216783,0.04116860000930758,-0.058252891613017235,0.007906607503339184,0.0024839518856949083,0.03289893301882347,-0.013385013028438603,-0.013988069155905372,0.04193767310139249
headaches,0.05460668448909374,0.17032277402903767,0.3733879091486681,0.09438216450140516,0.11639897860110003,0.0175055651554632,-0.01243912050938413,0.0816498140523779,0.0786661167782481,0.32459527106934366,0.047007604668540516,0.0597118753241201,0.2453790897685619,0.17264530952270354,0.018493324631640523,0.020152620169319627,0.3193320644042614,-0.02945550860428037,1.0000000000000016,0.13370996237867347,0.00790137721479123,0.07869296327977422,0.08912368374034788,0.055936482051543675,0.19943790101716255,-0.005521351487718965,0.05690272467392002,0.3580352568478894,0.22036619559197795,-0.03197960660434131,0.01819419943977286,-0.0015271297850778488,0.027817603686940248,0.08064540456358205,0.04434131627115343,0.011700855909821877,0.16651708878008797,0.12524884939068684,-0.019382273235959018,0.023674215263787067,0.05683569171870187,0.04368747884652026,0.02462683570452689
heartburn,0.13614629999744268,0.0792342585256823,0.10015320326626041,0.09125904193976682,-0.007000304083860706,-0.0017789470875022783,0.02282183140185141,0.0687944941757223,0.06755752787684144,0.045277694290027835,0.11668790493708783,0.13553687505343792,0.18389324167032575,0.140997294540487,0.04061167446446513,0.021530506080385706,0.15256984490688186,-0.015052508344432284,0.13370996237867347,1.000000000000002,0.01770134407815873,0.11098151936233688,0.08159775196866903,0.0878977301815907,0.046219858507845664,0.035015471093585576,0.021937029135373765,0.25037602354013666,0.1756553263208545,-0.014361652793034125,-0.004384338861045384,0.06302015694925037,0.04558888488144209,0.010560382964233941,0.018204696859514872,-0.007591639758234674,0.041884771287265525,0.05119644852456332,0.1319951447066035,0.10484441610824978,0.05837822232020626,0.016438572929667113,0.019672758086416664
incontinence,0.07419999792323538,0.027209652210106478,0.03777363647862981,0.06583837051507936,-0.004949243759694302,0.020434398597916365,0.05043034579106457,0.07263128888205256,0.026379609079051913,0.10735580529977405,0.12834224967352248,0.247602647660848,0.00635293883109435,0.019043753902307614,0.16885429519281542,0.11296326558467915,0.09996250529761219,0.052438360677126365,0.00790137721479123,0.01770134407815873,1.0000000000000013,0.05354031757473637,-0.018140351205797937,0.33039691231311274,0.20811938203153907,0.03538462729023631,0.017908630114363725,0.02874560275530637,-0.00043990566347514124,0.022620906148042384,0.21350766154420883,0.009474036636388874,-0.008798772291642686,0.041051589688315265,0.11499619814353394,0.07650261831018042,-0.02225480187989732,0.12192162959230321,0.024235754576219713,0.05931172711058601,-0.003861599868168561,-0.00041836810980276504,0.03087637630546952
insomnia,0.08082400116762985,0.48019162504561264,0.07633665789627803,0.19348375087359812,0.20611481948721314,0.0563864321195427,0.29087421944740666,0.0537815259112218,0.047287860757238016,0.2625019895666589,0.27513537786240805,0.04520728028664867,0.0912460317917077,0.049534004049717896,0.12113663054337541,0.09964239413623763,0.2942514067094127,0.03947590427325528,0.07869296327977422,0.11098151936233688,0.05354031757473637,1.0000000000000002,0.03486511906936021,0.24208575400590598,0.14032552810461174,0.19601182450307994,0.2805365548409277,0.07763919047852337,0.14078690736436592,-0.013914271880062178,0.042993895950752675,0.02651876948466442,-0.015143785900297507,-0.019631754066665702,0.0009779370272371287,0.003919679521132056,0.04773260623809298,0.08867955182979098,-0.012613763695221585,0.048775654094661273,0.017583914249524733,0.006241096772673156,-0.004633312008884505
irregular_beat,-0.00019204429565876656,0.06595835093077647,-0.01605743886806597,0.03444773784852292,0.005562120305648485,0.00018642133395284675,-0.011185591023741049,0.04291137589273719,0.014321412911910239,0.040448657178937926,-0.009301575715308883,0.030897934915140358,0.06365327690442499,0.07012257283690396,-0.01077149277102303,-0.02188240167898501,0.010075602398036744,0.004476332150298408,0.08912368374034788,0.08159775196866903,-0.018140351205797937,0.03486511906936021,1.0000000000000009,0.029043858566958645,0.041029384857362176,0.015302923735625926,0.07245109606825675,0.02171953009868019,0.08387511118226393,-0.008101230631549184,0.003442323835493155,0.14559130304307374,0.21384557664568274,0.011057159007726252,0.03664249038099505,-0.02196133990980934,0.06453258398950511,0.04559994730345372,0.041329640289706315,0.030875957975533063,0.06127260896476043,0.0032282900118436523,0.08098776059570863
itchy_skin,0.13891742888528402,0.2606661495913701,0.17982328428789077,0.1506521382365132,0.04960895555364559,0.010230577899024424,0.20898968285029365,0.16238973851635954,0.013191130060294801,0.121635438043976,0.22730585123410307,0.16593068910427028,0.023761734897445548,0.044573244606653496,0.2615979335607407,0.15158068593219207,0.13773569258919496,0.0785946464569678,0.055936482051543675,0.0878977301815907,0.33039691231311274,0.24208575400590598,0.029043858566958645,0.9999999999999998,0.18520826605888316,0.10261260643759514,0.24623536374989027,0.028153466600013315,0.07906380291330109,0.019406020567311194,0.13031291029702952,0.13927599380593364,0.01290059165738346,0.0724229881024768,0.06124963053725041,0.10749531511996592,-0.03998249872081411,0.21883302416164577,-0.003423708902971453,0.0859063017977901,-0.009789852878144989,0.09825830332448975,0.026691344695870686
joint_pain,0.1153450894113766,0.10951150236976401,0.1730210562607044,0.21206151760645509,0.12391872593007158,0.0472374329170259,0.19508898458086285,0.06307860311933526,0.04067450392631815,0.08939109176259526,0.13742951534532538,0.10706726065409888,0.17368157005544335,0.14644697745025198,0.05737362090447962,0.08580910953669664,0.23171295023372213,0.08494880987927324,0.19943790101716255,0.046219858507845664,0.20811938203153907,0.14032552810461174,0.041029384857362176,0.18520826605888316,1.0000000000000016,0.1393483390348879,0.10912936075679405,0.29404705044663265,0.1283799364829742,0.04020525405454005,0.111155976492411,-0.015677856980320884,-0.012332095737954785,0.04366358303690762,0.051629308106106386,0.017869545109166208,0.07217672944176304,0.2509606993524816,0.012439698801969193,0.02729326586030039,0.04337477506326725,-0.011496408607168418,-0.008651497684409898
