,allergies,anxiety,bloating,brain_fog,breast_pain,breast_swelling,brittle_nails,chills,constipation,cramps,depression,diarrhea,dizzy,dry_eyes,dry_skin,facial_hair,fatigue,hair_loss,headaches,heartburn,hot_flashes,incontinence,insomnia,irregular_beat,itchy_skin,joint_pain,memory_lapse,mood_swings,muscle_tension,nausea,night_sweats,nipple_discharge,odor,painful_intercourse,ringing_ears,sex_drive,spotting,tingling_extremeties,uti,vaginal_dryness,vertigo,vomiting,yeast_infection
depression,0.06846238534058345,0.444640825821124,0.04450848723241647,0.31312772248415266,0.08890478959419124,0.03589391093327283,0.23852897223208516,0.052994750511257994,0.13008651736984508,0.029097924649726443,0.999999999999999,0.150722856147804,0.17108280211280405,0.09904593770948768,0.2360204036943271,0.19433179046670015,0.3870590598566624,0.29112771898916234,0.21874528075305427,0.1357138346191911,-0.0616063850260859,0.10547358754492656,0.27240486818898557,0.05202003545934563,0.20760660014795224,0.22282373814259587,0.21432931026971258,0.38981948093543994,0.26381849311913064,0.09963677845504398,0.005667696529366777,0.04935562209139208,0.13683716289028522,0.02955588357705868,0.19808587710859568,0.13430212995990012,-0.010593721061685093,0.19194627851646948,0.07996023734555328,0.030868875711142642,0.10067168197958438,0.02808900991616188,0.038726235571049095
diarrhea,0.09703325561734862,0.18439662667321324,0.12625128293052099,0.10391591646639356,0.07980528447804419,0.05710100455166077,0.08001975853846062,0.07059052323197833,0.06545976769188065,0.09432913290437595,0.150722856147804,0.9999999999999994,0.12602652235360426,0.08803554192966433,0.16393152096402402,0.14287533963820864,0.2165282967361669,0.13362977626555037,0.17659798298127624,0.07566721244546809,-0.009206433700241764,0.11670564932683707,0.08503913107425591,0.06755922493208694,0.18663381555125905,0.1629196394959901,0.07718322616621631,0.16270253119611822,0.10516604532536761,0.26694727965799225,0.023467785010268666,-0.0022107224480694583,0.10568378139382406,-0.012283944899876732,0.05906523525899247,0.021368952529419335,0.01316955103833821,0.10715806800626448,0.1043570792926526,0.07432426366759359,0.14823809184240486,0.17877702544473392,0.08572165620632914
dizzy,0.14452822701788,0.22648627520486486,0.08722961451346517,0.272888358310495,0.11798899841364495,0.053395391413045515,0.17009277773980183,0.1268190386852851,0.12985087290784422,0.0487874582715254,0.17108280211280405,0.12602652235360426,1.0000000000000004,0.15199052672576382,0.2561211642750282,0.03645260782419404,0.22813533451196108,0.09620772271361046,0.24481964905835993,0.08386472536670987,-0.04526407386304218,0.08245533437426879,0.09018681435106944,0.10133919476957821,0.1884503022299552,0.13374527680901466,0.13007705852975224,0.14363723176311807,0.16261573856070058,0.17734765403942532,0.013470862155966533,0.013756665359476807,0.08697648994213596,0.012337411694569402,0.100767884847486,0.06832774603436222,-0.0063655596791462755,0.27884914786410564,0.05135647371966021,0.04950016071386854,0.3047463769050374,0.07299329465990424,0.03907818978624975
dry_eyes,0.33206912531723537,0.15148129837374827,0.1638122800226238,0.20399343650619475,0.10700201832316436,0.022017104113793585,0.3089573728941184,0.15736471226248122,0.1586538580258958,0.004047374009802393,0.09904593770948768,0.08803554192966433,0.15199052672576382,0.9999999999999986,0.5019403590433281,0.28606408195469213,0.3547382535613466,0.1619448171752407,0.2445616790909167,0.12437121988169617,-0.043869613433214244,0.34157473338818395,0.15936283945269686,0.11390336619926121,0.28565602471874174,0.22401591924688488,0.2117943340081038,0.05954989554487981,0.2870440104873024,0.054351618131201034,0.06435346675564266,-0.015412268540322321,0.06047644986196804,0.025035604845077965,0.1315951267370567,0.15828009948067978,-0.012545702828427905,0.22902155812106434,-0.00011429054678864208,0.3874745984834523,0.06409845826181905,-0.01456738894824143,0.05054468946360385
dry_skin,0.2852792284829012,0.2680037985104395,0.2123811460686963,0.2567033206694397,0.09500772841504808,0.10989299312461426,0.46704958073484826,0.10781518483502671,0.1937000647194768,0.03933612577660816,0.2360204036943271,0.16393152096402402,0.2561211642750282,0.5019403590433281,1.0000000000000024,0.29542493722391894,0.3351945667292187,0.3607183595288332,0.14221941704226373,0.09076774025494341,-0.08061415461881491,0.32548926100128567,0.1956572526057934,0.04023474305700058,0.4388091741193365,0.32373654538732444,0.22796461842114607,0.19545277419613286,0.39489436774238657,0.03494759120306237,0.08285740350025189,-0.0006330889009711353,0.07759478906025158,0.10593107283002219,0.18728019524494402,0.14457658720194663,-0.004138577058634546,0.20487125507024942,0.02195073501072948,0.28435809995298117,0.054748091608986,-0.0036963777769667555,0.11078965452914045
facial_hair,0.14337115891604074,0.15225335308668198,0.1114282640905779,0.115096219906475,0.004306075648826962,-0.003156785230867819,0.2775437705851877,0.171750241800116,0.20140719666587426,0.058861488903950286,0.19433179046670015,0.14287533963820864,0.03645260782419404,0.28606408195469213,0.29542493722391894,0.9999999999999996,0.3327736216513569,0.28310456655375177,0.2212414726777223,0.09014650328915456,-0.05523562944326152,0.23141782188898427,0.1389273230265888,0.05102810756691312,0.4969249466142075,0.2245719834244163,0.11156280863339774,0.11126061783368897,0.19389213858143273,0.020684091599012407,0.0019293732867353712,-0.005550582482295457,0.09284910001041138,0.14903629354292192,0.19053940907004574,0.15881016981598217,-0.013920912163293997,0.20323146269465847,0.025227142176903247,0.4612143972510855,-0.006080571574950996,0.023946336542744334,0.007600801515486488
fatigue,0.26438763167932816,0.3868894566557449,0.23108135854659123,0.4973623246047882,0.11617365894489419,0.016274282488043846,0.29504827200235134,0.11598988230623625,0.196953825719353,0.1024249739054514,0.3870590598566624,0.2165282967361669,0.22813533451196108,0.3547382535613466,0.3351945667292187,0.3327736216513569,1.000000000000001,0.16749238143067224,0.42646234885074186,0.17242907141789535,-0.02876054160133463,0.1758154079072945,0.3179322085177379,0.056669514099334635,0.3682131771536978,0.3693738614179659,0.24717909126287949,0.2931729601525597,0.3607934368706761,0.10590858488655608,0.08555611768615275,-0.012562206961990544,0.0776038739784798,0.07021038872695338,0.14830100362165177,0.2483719247161378,0.05604640031501691,0.2795372853056272,0.12457719373269156,0.24417968978791613,0.11575055596471683,0.03156945239968295,0.07579940801459258
hair_loss,0.05970975407738386,0.20889468196722027,0.09314265376677829,0.18851382449466397,0.013087667658943702,0.07225668062576761,0.3726875663674466,0.05798247154983295,0.12889952889550335,0.011300385703485486,0.29112771898916234,0.13362977626555037,0.09620772271361046,0.1619448171752407,0.3607183595288332,0.28310456655375177,0.16749238143067224,1.0000000000000009,0.06314696369327506,0.061761290425979234,-0.08473083190374972,0.16305942764675718,0.16419932026517284,0.03379623463549304,0.1763516259749986,0.20188657831270743,0.2157198034982584,0.16477483988006772,0.27738701247507297,0.05708588868853877,-0.003327040368458964,0.06917135817659877,0.08417936677532659,0.0989583018327243,0.18216476051632255,0.11146817414231122,-0.022083464355207815,0.16532735717764568,0.08652512033397708,0.13834574311168427,0.07951048938186803,0.03700214140541312,0.044429807042444126
headaches,0.26119519208298375,0.21456598941312838,0.12031817041241559,0.17147965920549432,0.14001423008515326,0.04087560712752499,0.1196733788129905,0.21570350290722,0.1505711130687869,0.05542450747729372,0.21874528075305427,0.17659798298127624,0.24481964905835993,0.2445616790909167,0.14221941704226373,0.2212414726777223,0.42646234885074186,0.06314696369327506,0.9999999999999984,0.1202083812005502,0.048767503419325994,0.10400694495567643,0.2910513120659698,0.11408009561130908,0.24112054551806103,0.19535641009949592,0.11930889379088541,0.18432605810473904,0.17678482642632679,0.15332796215592256,0.09167741479910461,0.022045865358410528,0.06069855679976129,0.05270698515914083,0.10343764312466376,0.09431399381891736,0.01380875310327284,0.21062494778645074,0.14012440386154745,0.19317849308823462,0.1641951853791188,0.049807592829607804,0.09751198563254589
heartburn,0.16820135387454338,0.1602373003768898,0.24557892462217468,0.1201459687670013,0.07956988282087936,0.01837878006372039,0.09081681333305482,0.01783689896808993,0.11641693210825868,0.03636465037227191,0.1357138346191911,0.07566721244546809,0.08386472536670987,0.12437121988169617,0.09076774025494341,0.09014650328915456,0.17242907141789535,0.061761290425979234,0.1202083812005502,0.9999999999999992,0.005175993272781463,0.10131529212339642,0.19174396756677672,0.03619439855578055,0.12570769368502238,0.10346881554599793,0.1491461318767026,0.1694219992664103,0.2413635776882518,0.0860021011913978,0.12445753077171154,0.015664621296549427,0.0356857712655777,0.060221799279960304,0.288592114753762,0.09305340226209795,-0.0008571064253587616,0.11560001035934982,0.10553264056346479,0.056592291787191405,0.06724610577590126,0.06803116585762076,0.05641406185888996
