"anxiety","fatigue","vaginal_dryness","sex_drive","night_sweats","mood_swings","hot_flashes","headaches","painful_intercourse","bloating","uti","constipation","insomnia","itchy_skin","joint_pain","brain_fog","hair_loss","brittle_nails","dry_skin","allergies","dry_eyes","chills","muscle_tension","dizzy","memory_lapse","irregular_beat","nausea","breast_pain","heartburn","ringing_ears","facial_hair","tingling_extremeties","yeast_infection","cramps","depression","breast_swelling","vertigo","odor","incontinence","diarrhea","vomiting"
0,0.0661807365853387,0.0881273523973367,0.0910657292890181,0,0.0798697373738648,-0.0919222681379205,0.0563206469019368,0,0,0,0,0.216409413409697,0,0.386000341015615,0,0.221400458464837,0,0.828493635675683,0.174022690581262,0.126277668066599,0,0.124042917575135,0,0,0,0,0,0.208813373981962,0,0.114494039281482,0.144047154481455,0,0,0.131958559186081,0,0,0,0,0.149276965707896,0
0,0.0788451510310725,0,0,0.0445047287600666,0.0327865529316713,0,0.104443832322461,0.32050810535437,0.200461355799211,0,0,0,0.386000341015615,0,0.0347073394507121,0.166797002761289,0.181350005320628,0.0669578472316162,0.0531633102034912,0.124527319806857,0,1.08563397953755,0,0.241623958850786,0,0,0,0.141525976451747,0,0.278007660898788,0.407548574386372,0,0,0,0,0,0,0.223360067936765,0,0
0.0726669522767988,0.444257009605924,0,0.07660079769423,0,0.0826305059115099,0,0,0,0.0831075735573283,0,0,0.142921904240046,0,0.0347073394507121,0,0.223100690478304,0,0.122731066156122,0,0,0,0.0804147414095271,0.450213835475627,1.33432217628189,0,0,0,0,0,0,0.151331910009277,0,0,0.342365584533373,0,0,0,0,0,0
0,0,0.170593220670024,0,0,0,0,0,0,0,0,0.149307039218917,0.259158470547215,0.221400458464837,0.166797002761289,0.223100690478304,0,0.610922261193969,0.371097935556791,0.102546211622516,0,0,0,0,0,0.0384072993191289,0,0,0,0,0.416881082340534,0,0,0,0,0,0,0,0.0960386201939299,0,0
0,0.213352646568726,0.0966164880991101,0,0,0,0,0,0,0.153304265623354,0,0,0,0,0.181350005320628,0,0.610922261193969,0,0.506646449726067,0,0,0,0,0,0.286786863758277,0,0,0,0,0,0.196371704812762,0,0,0,0,0,0,0.106980166798972,0,0,0
0,0.142246470220926,0.0603708926335326,0.0972049144836601,0,0,0,0,0,0,0,0.0328455486837874,0.0796328079958521,0.828493635675683,0.0669578472316162,0.122731066156122,0.371097935556791,0.506646449726067,0,0.109117568849973,0.651649070710822,0,0,0.120538891011617,0,0,0,0,0,0,0.320998472175256,0,0,0,0,0,0,0,0.171666281006277,0,0
0,0,0,0,0,0,0,0.101891008596596,0,0.222502280334201,0,0,0,0.174022690581262,0.0531633102034912,0,0.102546211622516,0,0.109117568849973,0,0.283588386082502,0,0.0819227146455609,0,0,0,0,0,0,0,0,0,0,0.0602691784787863,0,0,0,0,0,0,0
0,0.0888667063880339,0.20897942518771,0,0,0,0,0.0526346998415876,0,0,0,0,0,0.126277668066599,0.124527319806857,0,0,0,0.651649070710822,0.283588386082502,0,0.149860096080808,0.263273504628579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.284894738710418,0.0386038988211664,0,0,0,0,0,0,0,0,0,0,0,0,0.149860096080808,0,0,0.264070439017314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.250070547825059,0.049723249407272,0,0,0.224047544296785,0,0.0428544599615619,0,0,0,0.229868317821241,0,0.124042917575135,1.08563397953755,0.0804147414095271,0,0,0,0.0819227146455609,0.263273504628579,0,0,0,0.0556375143405889,0,0,0,0.0397407635015422,0.271465149114766,0,0.434388926363045,0,0,0,0,0,0,0,0.107990832376773,0
0,0,0,0,0,0,0,0.360929502585316,0,0,0,0,0,0,0,0.450213835475627,0,0,0.120538891011617,0,0,0.264070439017314,0,0,0,0.322885138350433,0.649443270138762,0.255038299534048,0,0,0,0.130168393498205,0,0,0.169425683296795,0,1.22466654458317,0,0,0,0
0.0800110479805877,0.285974037465018,0.299461210058575,0.109439532591439,0,0.422565205593173,0,0,0,0,0,0.213651830418464,0.0808847330775435,0,0.241623958850786,1.33432217628189,0,0.286786863758277,0,0,0,0,0.0556375143405889,0,0,0,0,0,0,0,0.034859762167779,0,0,0,0.129497194796475,0,0.104090274910705,0.198674948640685,0.078312016718779,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.166210012564722,0,0,0,0.0384072993191289,0,0,0,0,0,0,0.322885138350433,0,0,0,0,0.222045933972307,0,0,0.334976634623598,0,0,0,0,0.393450667279168,0,0,0,0
0,0,0,0,0,0,0,0.170904603964808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649443270138762,0,0,0,0,0.547949933614007,0,0,0,0,0.230232726822382,0,0,0.0891341362758153,0,0,0.490084915884673,1.67703694819198
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255038299534048,0,0,0,0,0,0,0,0,0,0.919552530638196,0,1.89681822371012,0,0,0,0,0
0,0,0,0,0,0,0,0.190045888702009,0,0.169049340672854,0.191380521895882,0.410949682089573,0,0.208813373981962,0.141525976451747,0,0,0,0,0,0,0,0.0397407635015422,0,0,0.222045933972307,0.547949933614007,0,0,0,0,0.0885760059972716,0,0,0,0,0,0,0,0,0
